state,afr_ancs,eur_ancs,ami_ancs,region_ori
Chiapas,0.020899,0.317815,0.653091,south
Nuevo León,0.067885,0.432457,0.496061,north
Tamaulipas,0.01902,0.195251,0.774708,north
Veracruz,0.053505,0.034965,0.902083,center
Veracruz,0.014746,0.020654,0.954097,center
Nuevo León,0.051309,0.323771,0.6249,north
Nuevo León,0.033628,0.418002,0.53822,north
Distrito Federal,0.002554,0.010123,0.979183,center
Nuevo León,0.070673,0.324533,0.598282,north
Coahuila,0.05296,0.354554,0.581005,north
Nuevo León,0.042973,0.440193,0.512947,north
Nuevo León,0.037975,0.348512,0.613492,north
Coahuila,0.041836,0.229257,0.728886,north
Nuevo León,0.054606,0.382434,0.56294,north
Coahuila,0.039135,0.319563,0.637555,north
Nuevo León,0.061274,0.385947,0.548515,north
Coahuila,0.089243,0.2865,0.608102,north
Nuevo León,0.050907,0.348163,0.590045,north
Guanajuato,0.051764,0.305319,0.626909,center
Tamaulipas,0.03814,0.240872,0.705756,north
Guanajuato,0.039924,0.153865,0.791191,center
Nuevo León,0.043861,0.388028,0.552649,north
Nuevo León,0.073921,0.27635,0.626572,north
Nuevo León,0.044619,0.615541,0.330803,north
San Luis Potosí,0.046502,0.24764,0.703621,north
Nuevo León,0.060828,0.323133,0.616019,north
Nuevo León,0.066043,0.449166,0.484771,north
Veracruz,0.057546,0.210362,0.721156,center
Zacatecas,0.080062,0.410203,0.498671,north
San Luis Potosí,0.055905,0.293778,0.644444,north
Nuevo León,0.037521,0.538513,0.423137,north
Durango,0.067936,0.382955,0.547047,north
Nuevo León,0.036307,0.422362,0.538201,north
Nuevo León,0.033155,0.364915,0.593448,north
Nuevo León,0.048899,0.240606,0.706716,north
Nuevo León,0.058265,0.300179,0.636971,north
Distrito Federal,0.02342,0.33017,0.646386,center
Nuevo León,0.03929,0.286838,0.656373,north
Nuevo León,0.033382,0.612349,0.354249,north
Nuevo León,0.044576,0.274374,0.679081,north
Nuevo León,0.044278,0.639802,0.303007,north
Nuevo León,0.066716,0.459372,0.465053,north
Nuevo León,0.052753,0.459972,0.485277,north
Tamaulipas,0.046177,0.419459,0.530949,north
Nuevo León,0.050252,0.40492,0.544248,north
Nuevo León,0.031505,0.765859,0.202616,north
Tamaulipas,0.053997,0.238866,0.694947,north
Nuevo León,0.033198,0.570099,0.396683,north
Nuevo León,0.049162,0.34688,0.603938,north
Nuevo León,0.037401,0.234029,0.722543,north
Nuevo León,0.109434,0.374496,0.51605,north
Nuevo León,0.04488,0.314912,0.631017,north
Nuevo León,0.045506,0.316964,0.619533,north
Nuevo León,0.064375,0.253824,0.664362,north
Nuevo León,0.043468,0.269408,0.68203,north
Coahuila,0.06225,0.415191,0.522539,north
Nuevo León,0.054304,0.3102,0.634241,north
Coahuila,0.043307,0.374403,0.578846,north
Veracruz,0.016917,0.175692,0.798199,center
Tabasco,0.126808,0.240627,0.621587,south
Tamaulipas,0.078601,0.358661,0.552165,north
Chiapas,3.15e-4,0.062514,0.927964,south
Nuevo León,0.060344,0.376355,0.561732,north
Nuevo León,0.033319,0.26190600000000003,0.704754,north
Nuevo León,0.058073,0.368776,0.573131,north
Zacatecas,0.078943,0.307549,0.613488,north
Veracruz,0.028015,0.17111,0.796661,center
Veracruz,0.04022,0.219426,0.740334,center
Nuevo León,0.023964,0.532402,0.434925,north
Nuevo León,0.049374,0.324149,0.626457,north
Nuevo León,0.042701,0.293822,0.657448,north
Chiapas,1e-5,1.87e-4,0.996325,south
Zacatecas,0.07119,0.295744,0.630023,north
San Luis Potosí,1.02e-4,3.45e-4,0.996502,north
Michoacán,0.037299,0.369679,0.583206,center
Tamaulipas,0.04855,0.28555,0.659691,north
Nuevo León,0.059064,0.294018,0.64622,north
San Luis Potosí,2.6e-5,0.057702,0.939571,north
Veracruz,0.116271,0.137849,0.74586,center
Coahuila,0.049498,0.194435,0.754279,north
Nuevo León,0.064099,0.29964,0.625033,north
Nuevo León,0.060768,0.356713,0.563895,north
Nuevo León,0.064589,0.299024,0.632127,north
Nuevo León,0.043504,0.413922,0.538045,north
San Luis Potosí,1e-5,1e-5,0.99996,north
Zacatecas,0.099454,0.380256,0.51449,north
Chiapas,0.04242,0.191965,0.765594,south
Hidalgo,4.66e-4,0.004878,0.989291,center
Nuevo León,0.048823,0.304592,0.635111,north
Veracruz,0.004787,0.027498,0.956677,center
Nuevo León,0.053023,0.288345,0.654371,north
Nuevo León,0.056492,0.263294,0.660318,north
Nuevo León,0.0263,0.318411,0.637189,north
Nuevo León,0.040676,0.279749,0.678365,north
Coahuila,0.083096,0.331755,0.580359,north
Nuevo León,0.047209,0.39619,0.556581,north
Nuevo León,0.062907,0.397613,0.53946,north
Nuevo León,0.066979,0.328928,0.60407,north
Nuevo León,0.062326,0.379919,0.543255,north
Nuevo León,0.041163,0.356129,0.597141,north
Nuevo León,0.072255,0.407305,0.51571,north
