region	group1	group2	group3	group4
ORI	0.000234	0.276172	0.057687	0.665906
ORI	0.002862	0.339586	0.037236	0.620316
ORI	1e-05	0.410507	0.05205	0.537433
ORI	0.000578	0.284063	0.041213	0.674147
ORI	1e-05	0.580965	0.016784	0.40224
ORI	0.011262	0.225775	0.069916	0.693047
ORI	0.002879	0.25717	0.079071	0.66088
ORI	1e-05	0.491684	0.03217	0.476137
ORI	0.001777	0.348378	0.050802	0.599043
ORI	0.013554	0.320196	0.026736	0.639514
ORI	0.003041	0.338975	0.049456	0.608528
ORI	0.009889	0.277988	0.071618	0.640505
ORI	1e-05	0.548325	0.049424	0.402241
ORI	1e-05	0.616187	0.039487	0.344316
ORI	1e-05	0.365867	0.045788	0.588335
ORI	0.003164	0.277734	0.053259	0.665844
ORI	0.004542	0.352685	0.084174	0.558599
ORI	1e-05	0.849682	0.019799	0.130509
ORI	1e-05	0.386045	0.039094	0.574851
ORI	1e-05	0.722266	0.04461	0.233114
ORI	1e-05	0.372441	0.067103	0.560446
ORI	0.020077	0.200701	0.030752	0.748471
ORI	0.000808	0.32099	0.042944	0.635258
ORI	1e-05	0.33471	0.05385	0.61143
ORI	0.000169	0.344563	0.056694	0.598574
ORI	1e-05	0.74527	0.029017	0.225703
ORI	0.01238	0.34203	0.055718	0.589872
ORI	1e-05	0.305998	0.045795	0.648197
ORI	1e-05	0.595329	0.036753	0.367907
ORI	0.005974	0.388854	0.040465	0.564706
ORI	1e-05	0.345902	0.074497	0.579591
ORI	0.013198	0.259321	0.043353	0.684128
ORI	0.002209	0.265205	0.055038	0.677549
ORI	0.000161	0.28358	0.077165	0.639094
ORI	1e-05	0.395674	0.042768	0.561549
ORI	1e-05	0.380131	0.052574	0.567285
ORI	0.010788	0.381872	0.06302	0.54432
ORI	0.001248	0.422233	0.051339	0.525181
ORI	0.004806	0.270819	0.06961	0.654764
ORI	0.003984	0.183121	0.009902	0.802993
ORI	1e-05	0.396664	0.043327	0.56
ORI	0.000254	0.507548	0.042374	0.449824
ORI	0.005464	0.1723	0.009084	0.813152
ORI	0.001059	0.380131	0.039396	0.579414
ORI	1e-05	0.224361	0.014728	0.760901
ORI	1e-05	0.296668	0.067694	0.635628
ORI	0.000331	0.236619	0.044157	0.718893
ORI	1e-05	0.485384	0.032517	0.482089
ORI	0.000233	0.237765	0.045393	0.716609
ORI	0.010669	0.452634	0.022734	0.513963
ORI	0.001247	0.205305	0.004446	0.789002
ORI	0.014514	0.318059	0.070574	0.596853
ORI	0.002197	0.326788	0.026117	0.644898
ORI	1e-05	0.358662	0.081681	0.559647
ORI	0.01301	0.073713	0.031195	0.882082
ORI	0.008885	0.220846	0.055369	0.714899
ORI	0.000854	0.366456	0.033119	0.599571
ORI	0.009563	0.310193	0.022494	0.657751
ORI	0.013941	0.22962	0.033743	0.722696
ORI	0.010186	0.248247	0.05036	0.691207
ORI	0.023427	0.067455	0.02302	0.886098
ORI	0.004336	0.210908	0.060022	0.724735
ORI	1e-05	0.425013	0.023548	0.551429
ORI	0.013973	0.237588	0.006854	0.741586
ORI	0.003571	0.354613	0.052697	0.589119
ORI	1e-05	0.520888	0.074873	0.404229
ORI	1e-05	0.436172	0.042574	0.521244
ORI	1e-05	0.666432	0.0254	0.308158
ORI	1e-05	0.29794	0.039663	0.662387
ORI	1e-05	0.57802	0.042103	0.379867
ORI	1e-05	0.348803	0.040942	0.610245
