region	group1	group2	group3	group4	group5	group6
ORI	1e-05	0.035136	0.284374	0.053458	0.006537	0.620485
ORI	0.008416	0.028817	0.390008	0.019271	0.003204	0.550284
ORI	1e-05	1e-05	0.000201	1e-05	0.003265	0.996505
ORI	1e-05	0.011263	0.624286	0.016833	1e-05	0.347598
ORI	0.007007	0.037615	0.252074	0.032807	0.001721	0.668777
ORI	0.000115	0.04218	0.480319	0.053727	0.001876	0.421782
ORI	0.012709	0.019017	0.567113	0.020059	1e-05	0.381093
ORI	1e-05	0.033812	0.359221	0.016821	0.007183	0.582953
ORI	1.3e-05	0.000511	0.002206	1e-05	0.005115	0.992144
ORI	1e-05	0.043757	0.352302	0.017111	1e-05	0.586809
ORI	1e-05	0.02861	0.237996	0.01484	0.011455	0.707089
ORI	1e-05	0.039764	0.233127	0.015273	1e-05	0.711816
ORI	0.004356	0.026688	0.347186	0.026984	1e-05	0.594776
ORI	0.020297	0.022217	0.606417	0.023906	1e-05	0.327153
ORI	1e-05	0.025364	0.255523	0.029951	1e-05	0.689142
ORI	0.004867	0.036301	0.330624	0.016079	1e-05	0.61212
ORI	1.2e-05	0.033776	0.344985	0.011331	1e-05	0.609885
ORI	0.005249	0.025844	0.327607	0.016551	0.005866	0.618883
ORI	0.002075	0.027263	0.373071	0.02404	0.002533	0.571018
ORI	0.002097	0.033722	0.296119	0.022266	0.002009	0.643787
ORI	0.012882	0.040163	0.421917	0.015758	1e-05	0.50927
ORI	0.002847	0.072189	0.194564	0.059532	0.001453	0.669414
ORI	1e-05	0.023833	0.226207	0.020722	0.011877	0.717351
ORI	0.012336	0.027311	0.438497	0.020848	0.002591	0.498417
ORI	1.3e-05	0.033966	0.254922	0.020044	1e-05	0.691045
ORI	0.003396	0.027768	0.3067	0.015084	0.011923	0.635129
ORI	1e-05	0.045344	0.355976	0.013086	1e-05	0.585574
ORI	0.006223	0.024129	0.315638	0.021044	1e-05	0.632955
ORI	1e-05	0.028796	0.341658	0.014134	0.006352	0.60905
ORI	1e-05	0.02597	0.392235	0.016937	0.004541	0.560308
ORI	1e-05	0.030071	0.348837	0.019411	1e-05	0.601661
ORI	0.00325	0.019216	0.505469	0.009745	1e-05	0.46231
ORI	0.002293	0.039051	0.284876	0.021963	1e-05	0.651807
ORI	0.019379	0.031106	0.335148	0.008648	1e-05	0.605709
ORI	1e-05	0.037205	0.41978	0.019255	1e-05	0.52374
ORI	0.007416	0.032097	0.289501	0.011794	1e-05	0.659182
ORI	0.007873	0.021396	0.582878	1e-05	1e-05	0.387832
ORI	0.014766	0.052587	0.22677	0.01937	0.006728	0.679778
ORI	0.001052	0.042026	0.266354	0.039755	0.005194	0.64562
ORI	0.002317	0.016091	0.498304	0.020827	1e-05	0.462452
ORI	1e-05	0.033981	0.357571	0.020163	0.005319	0.582956
ORI	0.012349	0.019975	0.321699	0.009558	0.012192	0.624226
ORI	0.005257	0.046594	0.344298	0.006115	0.004669	0.593066
ORI	0.016732	0.044321	0.276155	0.02978	0.006478	0.626535
ORI	0.000584	0.037493	0.555081	0.018033	1e-05	0.388799
ORI	0.009037	0.023041	0.615438	0.021696	1e-05	0.330777
ORI	0.008488	0.025172	0.368784	0.023963	1e-05	0.573584
ORI	1e-05	0.040757	0.287893	0.015218	0.006638	0.649485
ORI	1e-05	0.038755	0.360636	0.049057	0.00956	0.541982
ORI	1.4e-05	0.017319	0.852618	0.008545	1e-05	0.121494
ORI	0.009802	0.012578	0.387759	0.02983	1e-05	0.560021
ORI	0.00193	0.030677	0.724176	0.02097	1e-05	0.222237
ORI	0.00481	0.039341	0.377564	0.031695	0.001159	0.545431
ORI	0.018361	0.032578	0.200504	1e-05	0.013495	0.735052
ORI	0.008315	0.026304	0.325028	0.019579	0.00097	0.619803
ORI	1e-05	0.03405	0.346121	0.023444	1e-05	0.596365
ORI	0.010073	0.033513	0.346763	0.026415	7e-05	0.583166
ORI	1e-05	0.02153	0.749522	0.014026	1e-05	0.214902
ORI	0.027908	0.037113	0.332405	0.021166	0.005382	0.576026
ORI	1.2e-05	0.032564	0.317264	0.016696	1e-05	0.633454
ORI	0.006458	0.025926	0.596664	0.016402	1e-05	0.35454
ORI	1e-05	0.024605	0.397371	0.019383	0.011404	0.547226
ORI	0.002082	0.044196	0.352639	0.034792	1e-05	0.56628
ORI	0.012528	0.028975	0.261368	0.016742	0.010802	0.669586
ORI	0.00912	0.040324	0.269261	0.017298	0.000939	0.663058
ORI	1e-05	0.044362	0.293543	0.035488	0.003443	0.623155
ORI	0.013209	0.034656	0.394527	0.011496	1e-05	0.546102
ORI	0.001585	0.037725	0.388365	0.018576	0.001755	0.551994
ORI	0.011509	0.053498	0.382187	0.012946	0.011562	0.528298
ORI	0.008423	0.030327	0.423894	0.024736	0.003457	0.509163
ORI	0.009592	0.029279	0.274516	0.042848	0.003761	0.640004
ORI	0.005599	0.008602	0.191741	0.002833	0.002505	0.788721
ORI	0.006418	0.023688	0.400799	0.023247	0.001259	0.544589
ORI	0.008659	0.026402	0.5091	0.020651	1e-05	0.435178
ORI	0.015075	0.007286	0.174417	0.002806	1e-05	0.800406
ORI	1e-05	0.024981	0.389272	0.017752	0.006329	0.561656
ORI	0.013729	0.006871	0.224618	0.009369	1e-05	0.745403
ORI	0.001573	0.037978	0.305206	0.033259	1e-05	0.621974
ORI	1e-05	0.035472	0.247367	0.011266	0.002345	0.70354
ORI	0.006864	0.025172	0.488235	0.011254	0.001884	0.466591
ORI	0.008947	0.029178	0.242001	0.01828	1e-05	0.701584
ORI	0.0035	0.011816	0.457656	0.014188	0.015512	0.497328
ORI	0.00418	0.005447	0.215024	0.000266	0.000706	0.774377
ORI	0.015866	0.032176	0.31596	0.041214	0.012426	0.582358
ORI	0.014605	0.022129	0.326858	0.006437	0.000628	0.629344
ORI	0.001432	0.045253	0.365734	0.04006	0.003477	0.544044
ORI	1e-05	0.016291	0.089041	0.015176	0.011586	0.867897
ORI	0.013931	0.041661	0.222405	0.015755	0.00496	0.701289
ORI	0.007944	0.017171	0.370848	0.019013	0.001508	0.583515
ORI	1e-05	0.022863	0.320872	0.002416	0.013942	0.639896
ORI	1e-05	0.019469	0.242377	0.016048	0.016869	0.705228
ORI	0.015781	0.029403	0.248835	0.023	0.005796	0.677184
ORI	0.002219	0.0114	0.079298	0.012551	0.019279	0.875254
ORI	0.00833	0.028401	0.216696	0.033713	0.001965	0.710894
ORI	0.005329	0.016672	0.431037	0.010147	0.001735	0.53508
ORI	1e-05	0.008549	0.25039	1e-05	0.015926	0.725115
ORI	0.009106	0.035827	0.357006	0.019913	0.004108	0.574039
ORI	0.00682	0.046769	0.521911	0.033334	1e-05	0.391155
ORI	0.014892	0.028947	0.433199	0.017207	1e-05	0.505744
ORI	0.001141	0.022302	0.672121	0.008654	1e-05	0.295772
ORI	0.003628	0.035336	0.305612	0.007566	1e-05	0.647848
ORI	0.005664	0.036483	0.580518	0.010993	1e-05	0.366332
ORI	1e-05	0.019529	0.361319	0.024861	1e-05	0.594272
ORI	0.010221	0.025764	0.527412	0.002154	1e-05	0.43444
ORI	0.002998	0.02241	0.160485	0.010816	0.016643	0.786648
ORI	0.00449	0.036141	0.28729	0.013999	1.3e-05	0.658067
ORI	1e-05	0.026508	0.392558	0.03321	0.021792	0.525921
ORI	1e-05	0.018697	0.258741	0.037491	1e-05	0.68505
ORI	0.009923	0.024099	0.320973	0.013208	1e-05	0.631787
ORI	0.003894	0.000357	0.062508	1e-05	0.005268	0.927963
ORI	0.002968	0.018045	0.285161	0.003239	1e-05	0.690576
ORI	0.006164	0.007283	0.315117	0.008513	1e-05	0.662912
ORI	0.004345	0.037432	0.355535	0.005962	1e-05	0.596716
ORI	0.001336	0.036281	0.566917	0.027168	1e-05	0.368289
ORI	1e-05	0.013357	0.348951	0.004515	1e-05	0.633157
ORI	0.011262	0.031677	0.320839	0.012691	0.011721	0.61181
ORI	0.00795	0.041087	0.384675	0.020463	1e-05	0.545815
ORI	1e-05	0.025094	0.184704	0.030049	0.00899	0.751153
ORI	1e-05	0.04011	0.341704	0.025331	1e-05	0.592834
ORI	1e-05	0.034977	0.280681	0.030347	1e-05	0.653975
ORI	0.00121	0.028549	0.229255	0.027165	0.005766	0.708055
ORI	1e-05	0.065147	0.368545	0.076594	0.00068	0.489025
ORI	0.002979	0.028684	0.59054	0.010158	1e-05	0.367629
ORI	0.000768	0.028627	0.275522	0.025079	0.004583	0.665421
ORI	0.008554	0.04403	0.275085	0.041295	1e-05	0.631025
ORI	0.01922	0.041578	0.442332	0.017914	1e-05	0.478946
ORI	0.002718	0.037749	0.365968	0.022574	0.0011	0.569891
ORI	0.005377	0.025461	0.267365	0.016483	1e-05	0.685303
ORI	1e-05	0.039597	0.448985	0.026655	1e-05	0.484743
ORI	0.005153	0.012333	0.288403	0.009938	1e-05	0.684163
ORI	0.003459	0.024956	0.465305	0.022344	0.008842	0.475094
ORI	1e-05	0.03711	0.297422	0.011338	0.010302	0.643817
ORI	0.003871	0.008854	0.069539	0.00877	0.007808	0.901158
ORI	1e-05	0.035878	0.206044	0.031058	1e-05	0.727
ORI	1e-05	0.028857	0.830061	0.008378	1e-05	0.132683
ORI	1.1e-05	0.056595	0.328011	0.04695	1e-05	0.568423
ORI	0.010115	0.033207	0.303738	0.00905	0.006696	0.637194
ORI	0.008505	0.035798	0.435214	0.020973	0.001187	0.498324
ORI	0.002323	0.023178	0.19728	0.019859	0.0087	0.74866
ORI	0.005776	0.033255	0.384461	0.027292	0.008223	0.540994
ORI	0.00161	0.022828	0.331211	0.02661	1e-05	0.617731
ORI	0.001607	0.031109	0.076845	0.032902	0.008498	0.849039
ORI	0.011048	0.052688	0.409967	0.027602	1e-05	0.498686
ORI	0.009649	0.032221	0.316787	0.016166	0.012968	0.612209
ORI	1.1e-05	0.032988	0.403313	0.024391	1e-05	0.539287
ORI	0.022054	0.035258	0.322718	0.043698	7.2e-05	0.5762
ORI	0.006776	0.054829	0.331755	0.027261	1e-05	0.579368
ORI	0.00635	0.033502	0.275552	0.011958	0.006104	0.666533
ORI	0.003788	0.038717	0.295248	0.020092	0.01183	0.630324
ORI	1e-05	0.029355	0.329684	0.020333	0.004152	0.616466
ORI	0.0087	0.053018	0.385082	0.027895	1e-05	0.525296
ORI	1e-05	0.034368	0.3981	0.026001	1e-05	0.541511
ORI	0.003563	0.043288	0.259347	0.024605	0.00234	0.666857
ORI	0.011772	0.041948	0.31316	0.015417	1e-05	0.617693
ORI	0.000515	0.029156	0.274018	0.015428	0.000662	0.680221
ORI	1e-05	0.018701	0.20334	0.038348	0.01572	0.723881
ORI	0.01165	0.033014	0.217442	0.013878	0.005232	0.718783
ORI	1e-05	0.037719	0.29364	0.018324	0.005913	0.644393
ORI	0.011638	0.03348	0.428982	0.041174	1e-05	0.484716
ORI	1e-05	0.041606	0.293631	0.02916	0.000436	0.635157
ORI	1e-05	0.016739	0.538446	0.020868	0.000815	0.423121
ORI	1e-05	0.034605	0.375748	0.028319	1e-05	0.561307
ORI	0.007677	0.026937	0.322387	0.018311	1e-05	0.624678
ORI	0.00986	0.022389	0.289212	0.034791	1e-05	0.643737
ORI	1e-05	0.032895	0.382853	0.035183	0.002017	0.547042
ORI	1e-05	0.030282	0.295078	0.002423	0.004761	0.667446
ORI	0.004476	0.048013	0.311149	0.02979	0.012153	0.594419
ORI	0.003225	0.030489	0.422104	0.006001	1e-05	0.538171
ORI	0.001524	1e-05	0.000327	0.000592	0.005539	0.992008
ORI	0.001205	0.02389	0.364724	0.009464	0.007346	0.593371
ORI	0.000678	0.037957	0.330392	0.028109	0.006038	0.596826
ORI	0.004317	0.017444	0.205001	0.041303	0.011177	0.720758
ORI	1e-05	0.039232	0.296049	0.00994	0.006673	0.648097
ORI	0.004805	0.040599	0.294919	0.027495	0.004402	0.627781
ORI	0.00382	0.038463	0.333252	0.026554	1e-05	0.597901
ORI	0.004	0.042578	0.598466	0.00076	1e-05	0.354186
ORI	1e-05	0.031672	0.389375	0.025605	1e-05	0.553327
ORI	0.010079	0.019946	0.393093	0.015357	1e-05	0.561516
