region	group1	group2	group3	group4	group5	group6	group7
ORI	0.185747	0.757287	0.035622	1e-05	0.004918	1e-05	0.016407
ORI	0.347523	0.59071	0.046795	0.009895	0.000164	0.000247	0.004667
ORI	0.462329	0.402637	0.066055	0.01576	1e-05	1e-05	0.053199
ORI	0.40489	0.512218	0.055577	0.00191	0.007691	1e-05	0.017704
ORI	0.107056	0.879099	0.002024	1e-05	0.001704	0.004004	0.006103
ORI	0.329262	0.607251	0.06344	1.7e-05	1e-05	1e-05	1e-05
ORI	0.387651	0.55575	0.038313	0.008795	1e-05	1e-05	0.009471
ORI	0.282307	0.628968	0.049945	0.013138	1e-05	0.004554	0.021079
ORI	0.376765	0.563054	0.023218	0.006245	0.001978	0.010759	0.017981
ORI	0.238172	0.707253	0.036544	0.010104	0.007616	1e-05	3e-04
ORI	0.405988	0.487126	0.049414	0.005929	1e-05	1e-05	0.051523
ORI	0.741405	0.187948	0.040054	1e-05	1e-05	1e-05	0.030563
ORI	0.255204	0.642407	0.072603	1e-05	1e-05	1e-05	0.029756
ORI	0.270851	0.659438	0.048714	0.004814	0.015598	1e-05	0.000575
ORI	0.336125	0.521263	0.104522	0.005624	0.011077	1e-05	0.021379
ORI	0.367545	0.571689	0.028297	0.01005	0.001312	1e-05	0.021097
ORI	0.003414	0.991541	0.001817	1e-05	1e-05	0.002653	0.000554
ORI	0.432891	0.505425	0.040261	1.1e-05	1e-05	0.00222	0.019181
ORI	0.238448	0.684361	0.048277	0.005754	1e-05	0.003417	0.019733
ORI	0.341784	0.538333	0.072186	1e-05	0.009213	0.000994	0.03748
ORI	0.416878	0.541606	0.026474	0.002701	1e-05	0.009112	0.003219
ORI	0.708803	0.225236	0.039669	0.007832	1e-05	1e-05	0.01844
ORI	0.212314	0.693457	0.062847	0.015729	1e-05	0.000528	0.015114
ORI	0.550521	0.324093	0.069047	0.013272	1e-05	1e-05	0.043047
ORI	0.273837	0.649254	0.061658	0.008976	1e-05	1e-05	0.006256
ORI	0.073908	0.904307	0.013573	1e-05	1e-05	0.008183	1e-05
ORI	0.115654	0.834455	0.027615	0.007597	0.010403	0.004265	1e-05
ORI	0.309414	0.626331	0.038575	0.016441	0.009219	1e-05	1e-05
ORI	0.038869	0.900459	0.037268	0.000386	0.011113	1e-05	0.011894
ORI	0.288575	0.634038	0.040569	0.00177	1e-05	0.010884	0.024155
ORI	0.282348	0.648968	0.062883	0.002464	1e-05	0.000243	0.003083
ORI	0.327505	0.572269	0.058609	0.010951	0.008993	0.002839	0.018833
ORI	0.245144	0.696117	0.044	0.011438	0.003148	1e-05	0.000142
ORI	0.360223	0.556408	0.041537	0.016909	1e-05	1e-05	0.024903
ORI	0.300928	0.601248	0.056148	0.008794	1e-05	1e-05	0.032863
ORI	0.204696	0.725198	0.051871	0.009082	1e-05	0.001877	0.007267
ORI	0.237935	0.675554	0.058447	0.009155	1e-05	1e-05	0.01889
ORI	0.286861	0.656453	0.045461	0.007387	1e-05	0.000444	0.003384
ORI	0.708054	0.202744	0.043095	1e-05	1e-05	1e-05	0.046076
ORI	0.213701	0.720212	0.043725	1e-05	0.011737	1e-05	0.010605
ORI	0.367084	0.555523	0.054	0.009283	1e-05	1e-05	0.01409
ORI	0.282066	0.622813	0.086225	1e-05	0.008464	0.000413	1e-05
ORI	0.360643	0.553537	0.045542	0.008385	1e-05	0.00511	0.026773
ORI	1e-05	0.996111	1e-05	1e-05	0.002747	0.000841	0.000272
ORI	0.591728	0.353991	0.023644	1e-05	1e-05	0.003345	0.027273
ORI	0.236485	0.669899	0.068682	0.006245	0.004362	1e-05	0.014316
ORI	0.446347	0.425843	0.092257	0.000482	1e-05	0.004767	0.030295
ORI	0.553687	0.388392	0.034943	0.016193	1e-05	1e-05	0.006766
ORI	0.329894	0.585893	0.048331	1e-05	0.001574	0.006929	0.02737
ORI	0.001838	0.992083	0.000541	1e-05	0.001054	0.003784	0.000691
ORI	0.316053	0.589701	0.058748	1e-05	1e-05	1e-05	0.035468
ORI	0.22134	0.708533	0.04203	1e-05	0.005798	0.006728	0.015562
ORI	0.220421	0.713467	0.053446	1e-05	1e-05	0.001077	0.011568
ORI	0.31452	0.597414	0.051593	0.005626	1e-05	1e-05	0.030827
ORI	0.558901	0.332938	0.041999	0.02331	1e-05	1e-05	0.042832
ORI	0.248576	0.691854	0.053513	0.001368	1e-05	1e-05	0.004668
ORI	0.312583	0.615123	0.050066	0.005644	1e-05	0.001172	0.015401
ORI	0.319489	0.613396	0.043002	1e-05	1e-05	1e-05	0.024083
ORI	0.293455	0.621075	0.040441	0.005303	0.000688	0.006017	0.03302
ORI	0.354099	0.574132	0.048583	0.001952	1e-05	0.005198	0.016026
ORI	0.281207	0.645673	0.053894	0.001818	0.004905	1e-05	0.012493
ORI	0.364097	0.511802	0.053468	0.013748	1e-05	1e-05	0.056864
ORI	0.182309	0.670421	0.130327	0.002816	0.00181	0.000623	0.011693
ORI	0.195279	0.717566	0.043337	1e-05	1e-05	0.012869	0.030929
ORI	0.400642	0.501834	0.045328	0.012412	1e-05	0.004478	0.035297
ORI	0.247843	0.693318	0.052192	0.000202	1e-05	0.000876	0.005559
ORI	0.286247	0.63749	0.040866	0.003671	0.001201	0.011976	0.01855
ORI	0.343324	0.590102	0.055994	1e-05	1.9e-05	1e-05	0.010542
ORI	0.288714	0.635265	0.043422	0.006394	1e-05	0.000979	0.025217
ORI	0.32609	0.611698	0.04032	1e-05	1e-05	0.009275	0.012597
ORI	0.377714	0.563547	0.039991	1e-05	1e-05	0.008277	0.010452
ORI	0.341801	0.60578	0.046969	1e-05	1e-05	0.001233	0.004198
ORI	0.467379	0.467487	0.025769	0.005199	0.000124	1e-05	0.034032
ORI	0.269789	0.654342	0.059026	0.003209	0.000526	1e-05	0.013099
ORI	0.309116	0.608649	0.037728	0.020597	1e-05	1e-05	0.023889
ORI	0.389997	0.527839	0.053696	0.000198	1e-05	0.001301	0.026959
ORI	0.267679	0.66073	0.041893	0.006285	1e-05	0.002955	0.020447
ORI	0.556659	0.394615	0.017544	0.010869	1e-05	1e-05	0.020292
ORI	0.221412	0.681299	0.070071	0.013616	1e-05	0.00951	0.004081
ORI	0.264345	0.647951	0.079435	0.000207	1e-05	0.008042	1e-05
ORI	0.485404	0.468908	0.033142	0.004926	1e-05	1e-05	0.0076
ORI	0.329761	0.585513	0.051698	1e-05	0.004967	0.00215	0.025902
ORI	0.292823	0.62655	0.027567	0.012436	0.000512	0.012579	0.027533
ORI	0.312538	0.594682	0.050324	0.003296	1e-05	0.008311	0.030838
ORI	0.273328	0.629059	0.071864	0.017021	0.007424	0.001294	1e-05
ORI	0.514276	0.394266	0.051569	0.003378	1e-05	1e-05	0.036492
ORI	0.586046	0.337971	0.040093	0.0124	1e-05	1e-05	0.023471
ORI	0.342678	0.577102	0.046678	0.009878	0.000226	1e-05	0.023428
ORI	0.271695	0.651807	0.053858	1e-05	1e-05	0.007988	0.014632
ORI	0.348653	0.545053	0.084969	1e-05	0.010857	0.001561	0.008897
ORI	0.815735	0.12973	0.020612	0.000102	1e-05	1e-05	0.033801
ORI	0.349531	0.56317	0.040034	0.011178	1e-05	1e-05	0.036068
ORI	0.680984	0.229341	0.046202	0.006424	1e-05	1e-05	0.037029
ORI	0.348423	0.547779	0.06829	0.004507	0.004103	1e-05	0.026888
ORI	0.196597	0.734926	0.031022	0.016975	0.017663	1e-05	0.002806
ORI	0.304217	0.621503	0.043671	0.007552	0.004462	1e-05	0.018584
ORI	0.337022	0.600265	0.054851	1e-05	0.001321	1e-05	0.006521
ORI	0.343153	0.586608	0.057151	0.010649	0.002211	0.000218	1e-05
ORI	0.693166	0.22197	0.030517	0.003418	1e-05	1e-05	0.05091
ORI	0.317241	0.57903	0.05574	0.028499	0.003459	0.003707	0.012324
ORI	0.315254	0.637723	0.046982	1e-05	1e-05	1e-05	1e-05
ORI	0.544319	0.360124	0.038321	0.008884	1e-05	1e-05	0.048333
ORI	0.374611	0.55081	0.041192	1e-05	1e-05	0.013648	0.019718
ORI	0.326919	0.569929	0.076433	0.003436	1e-05	1e-05	0.023262
ORI	0.255734	0.671687	0.043781	0.01264	0.008799	0.004098	0.003261
ORI	0.24847	0.664229	0.055808	0.008022	1e-05	0.003263	0.020199
ORI	0.290451	0.626311	0.077369	1e-05	1e-05	0.005465	0.000385
ORI	0.353496	0.549276	0.04373	0.014404	1e-05	1e-05	0.039074
ORI	0.348357	0.554621	0.053858	0.002351	8.2e-05	0.002755	0.037977
ORI	0.33658	0.52966	0.064025	0.011074	0.014131	1e-05	0.044519
ORI	0.378505	0.511201	0.052266	0.007004	1e-05	0.007396	0.043619
ORI	0.264408	0.642208	0.07011	0.009903	0.003205	0.002392	0.007773
