region	group1	group2	group3	group4	group5
ORI	0.085137	0.365888	0.003475	0.54406	0.00144
ORI	0.031374	0.089085	0.011623	0.867908	1e-05
ORI	0.057179	0.22269	0.004935	0.701346	0.01385
ORI	0.036083	0.370905	0.00155	0.583519	0.007943
ORI	0.025155	0.320981	0.013942	0.639913	1e-05
ORI	0.035409	0.242447	0.016883	0.705252	1e-05
ORI	0.052284	0.248937	0.005814	0.677204	0.015762
ORI	0.023862	0.079348	0.019271	0.875268	0.002252
ORI	0.061967	0.216766	0.001985	0.710896	0.008387
ORI	0.026714	0.431094	0.001781	0.535074	0.005337
ORI	0.008472	0.250466	0.015929	0.725123	1e-05
ORI	0.055553	0.357191	0.004093	0.574059	0.009105
ORI	0.07995	0.522078	1e-05	0.391157	0.006806
ORI	0.046004	0.433344	1e-05	0.505755	0.014888
ORI	0.030826	0.672265	1e-05	0.295787	0.001112
ORI	0.042759	0.30591	1e-05	0.647904	0.003417
ORI	0.047291	0.580726	1e-05	0.366334	0.005639
ORI	0.044273	0.361402	1e-05	0.594305	1e-05
ORI	0.027713	0.52762	1e-05	0.43445	0.010207
ORI	0.033101	0.160657	0.016637	0.78671	0.002896
ORI	0.049968	0.287443	1e-05	0.658097	0.004482
ORI	0.059586	0.392639	0.021822	0.525943	1e-05
ORI	0.056118	0.258784	1e-05	0.685078	1e-05
ORI	0.037185	0.321082	1e-05	0.63181	0.009914
ORI	0.000315	0.062514	0.005321	0.927964	0.003886
ORI	0.021226	0.285305	1e-05	0.690614	0.002845
ORI	0.015745	0.315118	1e-05	0.662922	0.006204
ORI	0.04321	0.355783	1e-05	0.596776	0.00422
ORI	0.063265	0.567092	1e-05	0.368294	0.001338
ORI	0.01777	0.349031	1e-05	0.633179	1e-05
ORI	0.044199	0.321062	0.011656	0.611852	0.011231
ORI	0.061308	0.384868	1e-05	0.54585	0.007964
ORI	0.055014	0.184784	0.00903	0.751162	1e-05
ORI	0.065265	0.34185	1e-05	0.592865	1e-05
ORI	0.065133	0.280837	1e-05	0.65401	1e-05
