SNPs	indels	DEL	DUP
3474352	602724	79	79
3896055	827158	92	52
3574316	656924	87	51
3759936	766145	92	57
3637017	690864	81	47
3731053	719329	92	40
3797276	779092	82	65
3547834	632836	80	58
3381076	572213	87	58
3537938	633079	86	53
3522376	674574	83	54
3836069	808951	74	65
3696283	719800	87	43
3922398	814371	89	52
3457623	645604	66	52
3591946	669102	86	50
3678615	720947	82	62
3626299	680982	84	46
3684828	754793	95	42
3704466	734915	87	55
3691640	702254	91	54
3625173	671563	87	55
3534736	633846	70	51
3764555	758939	92	46
3420671	583910	85	63
3495395	626228	104	43
3582033	649371	78	59
3803311	770390	87	47
3644898	702332	90	49
3772644	763250	96	46
4186153	764211	92	64
3530161	644379	85	60
3889570	845637	91	43
3726060	717173	84	48
3746123	744650	87	43
3637643	688024	84	62
3882396	821690	81	72
3481635	644013	83	52
3616566	681243	83	51
3613146	679190	84	54
3649486	683307	82	57
3797621	755768	70	73
3451998	606936	96	41
3300528	546000	68	72
3519220	611570	90	54
3682976	705123	84	49
3612372	693648	74	71
3430248	570606	88	55
3601859	672143	84	50
3076383	459567	81	69
3474396	600040	75	48
3303472	531274	84	57
3810114	792016	70	61
3495189	606572	75	66
3809812	797049	87	61
3601724	666000	89	60
3604313	671457	76	53
2975135	425155	84	72
3328216	548556	85	72
3285277	527843	84	56
3685540	702056	90	46
3506385	631502	97	52
3475622	604785	71	68
3500925	614588	79	60
3194137	498248	98	63
3492541	664265	93	49
3680019	696951	71	39
3640486	661248	84	49
3537385	632419	78	51
3363147	550358	98	54
3168073	498429	108	55
3184448	491162	89	47
3613631	652157	76	56
3447814	599157	84	44
3314315	542319	84	49
3684965	716596	88	49
3507864	627755	79	68
3760741	751178	73	68
3112792	466802	84	46
3528394	643972	79	52
3439074	584775	82	62
3636712	689241	89	51
3713721	735400	76	62
3287947	524030	83	75
3811653	783225	99	58
3648390	684232	78	51
3757808	745327	74	58
3559174	628153	73	47
3129620	513703	91	70
3674130	782616	97	42
3790328	762254	87	44
3451550	629844	80	81
3352635	557359	89	56
3519925	626729	86	69
3628930	665666	70	52
3430400	592516	86	60
3703321	734608	83	63
3873862	831197	92	56
3698755	726168	85	58
3493217	667585	76	63
3741054	744143	69	68
3437389	600225	81	44
3579057	661243	89	50
3240594	512736	85	62
3759469	744234	83	51
3428518	576849	87	46
3373356	580269	80	45
3593114	654912	77	51
3462015	659393	92	55
3766759	767072	85	63
3663489	691590	84	45
3909148	833673	91	46
3560386	712407	85	53
3479735	605040	101	50
3466710	602125	78	52
3759601	752359	75	59
3648589	657947	87	56
3644803	657371	82	50
3374866	591104	84	54
3460704	602488	89	69
3748230	728437	90	45
3455613	585302	93	52
3650938	682693	85	52
3841619	792904	83	55
3641186	695551	94	55
3632337	712315	104	42
2945323	415343	78	72
3592006	643585	85	50
3359093	558705	80	57
3570059	638435	87	58
3741383	742551	74	61
3450480	583943	94	46
3621165	652419	84	58
3822474	807734	94	67
3809307	772196	73	65
3701990	713053	76	71
3523267	625023	78	53
3671441	701804	64	66
3630606	681164	84	56
3469987	604295	73	58
3631233	683341	84	68
3733910	731229	73	53
3758700	752887	90	54
3788258	777210	82	55
3622483	674668	82	47
3877489	804947	90	61
3620151	671013	89	49
3559266	636244	102	55
3602406	644797	83	54
3651997	681954	79	48
3496466	602052	79	51
3818666	775862	91	46
3691601	715874	85	51
3563726	632683	89	51
3330777	535726	88	55
3724804	730414	80	45
3647808	683159	82	50
3720405	733652	87	62
3540531	623115	77	62
3732725	726804	93	37
3655708	679855	72	51
3635450	677362	87	61
3470710	635950	75	65
3723113	727408	79	53
3523162	629633	82	57
3566592	670920	90	47
3580678	639363	97	50
3575199	654834	87	53
3669690	692753	84	60
3729654	732174	106	43
3579439	696044	87	57
3666562	703233	97	41
3740677	731740	83	40
3616529	676606	72	61
3494628	608901	78	64
3585541	692697	81	51
3696017	714259	88	38
3732687	724812	75	47
3535695	696466	85	48
3879242	813333	88	54
3542435	689533	97	44
3804889	782366	89	40
3709819	733678	75	68
3618481	673288	81	51
3699472	706812	82	63
3566075	657720	97	42
3516500	637873	84	63
3788658	779143	91	32
3471991	674880	76	59
3531075	634068	93	47
3433644	637947	94	48
3634098	696245	77	41
3511634	687137	101	43
3770685	742088	87	66
3522456	670890	79	31
3735668	715646	83	53
3379018	580907	90	52
3595774	739970	79	54
3732334	734139	86	46
3815181	777778	94	50
3712924	714088	100	43
3309365	581466	92	57
3300078	569780	88	45
3742780	748776	93	52
3796624	768887	69	53
3690039	694937	70	53
3624155	742398	86	44
3565932	649956	86	72
3779912	743562	97	44
3563774	645691	81	53
3693554	694231	93	39
3832671	800203	91	52
3583065	644589	87	60
3813083	768684	82	42
3586389	655070	79	56
3613566	664649	82	53
3720965	794228	90	47
3614976	680133	80	43
3700992	727769	103	45
3582155	654955	104	43
3550091	625166	87	45
3683244	700977	79	45
3486505	605837	79	61
3444128	645815	96	41
3522521	617765	94	59
3828737	793399	98	56
3672370	699139	74	61
3552187	664202	71	76
3688783	712551	91	46
3295765	547453	94	62
3969269	881336	81	56
3616312	684688	100	43
3591604	646137	80	47
3629603	662430	98	63
3693580	703993	88	52
3759156	722622	80	51
3795557	769177	86	54
3839940	782707	91	38
3804011	755917	70	54
3514673	644278	90	37
3885966	811315	80	50
3804575	778660	89	49
3609042	669487	84	70
3527933	685362	86	47
3648023	696832	96	54
3632036	667792	74	50
3601151	654630	85	64
3698468	795803	92	44
3591239	644507	73	46
3583694	668152	100	61
3857119	818978	81	56
3608768	728954	77	63
3613214	661271	94	49
3671871	690044	79	56
3527052	678555	83	40
3604572	659079	88	47
3591630	667501	97	36
3678277	718053	83	52
3587154	729999	92	60
3659610	752685	78	46
3616557	704263	89	47
2851669	377642	97	46
3661366	690199	96	53
3929938	853794	88	51
3860453	834560	97	50
3920017	853155	78	48
3754816	772037	81	45
3121371	474096	90	63
3794150	758534	81	53
3745882	745339	77	59
3570066	648437	76	59
3763580	738796	86	59
3384454	564804	95	47
3892710	827406	87	45
3188665	485945	86	64
3680814	718592	96	57
3677234	695262	97	41
3416287	605467	88	46
3907929	838682	88	47
3931307	869458	93	54
3126308	476510	83	61
3371081	565736	90	55
3712191	725866	92	66
3814364	807528	100	41
3241577	515761	86	58
3937872	823891	88	45
3788989	777607	87	79
3263645	525382	91	44
3825254	794169	88	55
3485184	620686	77	60
3702560	727198	95	54
3434369	593398	80	59
2896805	406967	78	56
3401758	584804	92	45
3838287	798481	91	46
3503648	628416	86	66
3880136	815431	103	39
3427290	587539	95	56
3204861	472464	91	58
3799600	784074	76	49
3836080	789806	80	48
3381704	609081	84	48
3993214	827844	88	42
3244702	512744	79	48
3850002	789924	88	58
3770634	741162	78	54
3559160	676667	100	34
2806118	370354	96	55
3439697	585002	94	49
3771959	776057	84	39
3593659	659099	98	59
3760786	764816	79	53
3739632	732570	100	37
3911264	842542	77	49
3855158	797455	96	45
3479697	604817	83	79
3452128	601774	78	60
3655453	721872	73	42
3423059	583121	81	48
3868945	814047	91	39
3404306	580691	80	59
3751060	753087	91	41
3701296	729963	94	42
3741700	827611	99	65
3691654	695339	85	45
3530017	625803	98	49
3820307	804590	88	37
3575519	641000	82	62
3673486	708048	78	63
3744449	753983	88	70
3674459	785884	95	45
3220929	501297	83	58
3295111	572631	95	48
3862662	816050	84	51
3753319	748055	69	64
3040965	447555	85	69
3756770	750428	89	49
3905590	844450	89	65
3887925	823935	108	44
3620598	753731	98	44
3411761	582798	84	47
3751625	728008	84	50
3929078	853669	100	46
3610817	742781	90	47
3934988	865970	83	49
3454470	592131	77	79
3510945	604263	66	71
3433525	559610	83	74
3556229	623510	77	62
2935277	386768	86	47
3512767	640510	67	73
3055568	475390	85	65
3761418	753958	70	74
3349191	539084	83	48
3427942	572750	81	56
3564209	631395	89	57
3181787	468855	72	58
3447567	587151	73	68
3303404	508527	65	64
2816659	375609	77	64
3269762	510042	78	66
3641613	679686	81	62
3281871	496020	79	68
3725405	726159	71	52
3585907	662808	88	59
3250799	497112	79	78
3693365	699571	85	56
3550963	616922	80	65
3213828	468221	79	60
3501730	604674	85	67
3343862	538731	65	72
3432981	598027	86	52
3381518	550848	90	55
3233442	495390	76	59
3666591	694591	77	67
3057873	415970	79	67
3623192	662992	73	65
3251189	488877	84	59
3695298	694984	76	60
3210722	478318	81	54
3754030	712328	76	56
3707359	716263	81	58
3457219	562642	79	46
3287006	544559	84	47
3211563	479949	79	58
3543646	617664	83	56
3674811	697437	95	46
3657870	687387	78	63
3244845	509195	93	50
3412103	542289	81	65
3354976	526052	87	56
3112653	506938	92	49
3310622	519602	94	56
3273295	531899	75	58
2544866	299851	71	76
3281046	514511	95	50
3106916	470057	75	75
3109010	465462	70	53
3679805	676910	69	79
3198294	496606	78	55
3565377	651799	75	47
2834723	404899	89	63
2822905	366291	68	70
2770444	354780	83	70
3019564	435295	78	67
3720373	727341	92	51
3002105	417399	93	61
3644574	694225	72	64
3264194	510952	98	63
2533459	302511	71	79
3238328	509360	97	50
2708952	342733	69	56
3293195	533680	97	47
2869975	399162	94	61
2982428	428892	94	70
3577329	655843	79	59
3196904	530096	81	58
3717987	718527	80	52
3373623	572276	86	57
3502697	620781	85	60
3736137	754401	76	66
2685994	340850	74	80
3173893	487021	81	62
2943294	408264	85	64
2499657	287643	98	73
3580674	671900	89	55
3486640	662683	86	51
2832649	369412	78	69
3519226	635189	79	61
3234793	490213	82	64
2970797	417251	96	57
3714818	719542	90	54
3017123	417657	79	70
3381206	610679	98	61
3188504	517291	81	73
3506791	639280	83	52
3200707	491408	70	69
3520679	664759	78	48
2850239	389400	92	51
3140236	479841	78	54
3251960	538766	83	55
3227242	538468	84	47
3699312	717040	68	64
3359765	562758	83	58
3511967	606336	90	58
3497674	605198	79	52
3581764	696134	85	54
3900378	821682	93	54
3311202	530097	95	42
3355877	562683	82	64
3416173	561655	99	43
3868356	796796	85	49
2803299	376338	80	55
3775764	754119	89	59
3717673	715871	103	46
3817175	743472	77	52
3407770	602519	83	51
3107436	461870	74	56
3747901	728358	79	61
3603616	654363	87	48
2897743	396533	81	47
3619698	681628	92	44
3649762	665677	80	61
3793135	776254	85	42
3781481	771207	91	61
3420727	570848	91	59
3604053	660158	90	48
3213526	494721	91	60
3275176	526273	71	61
3471400	607168	83	52
3531818	626493	93	49
2997373	437727	96	59
3314394	533724	77	65
3616227	680397	91	53
3589280	641028	99	46
3648489	734622	89	40
3297863	523280	93	41
3403846	573548	81	68
3727377	720123	84	64
3154339	456836	75	52
3232865	530148	79	54
3443602	587743	81	43
3148948	512677	84	53
3409487	601285	90	48
3294346	568330	94	45
3736603	747360	86	58
3746253	738171	69	60
3816846	776094	81	49
3805001	761621	98	54
3834966	798992	82	58
3727180	707991	75	72
3770603	776929	92	57
3782766	775264	78	57
3817290	787638	81	56
3876883	801335	78	57
3857130	798726	100	39
3530037	617886	86	49
3732528	729721	77	47
3657636	699744	92	54
3843770	811313	86	47
3682330	731382	81	63
3577982	674221	81	53
3677126	712495	98	51
3020266	433230	84	63
3576785	630971	87	60
3754968	758304	104	63
3672480	693901	85	49
3620114	673705	88	49
3769713	761903	91	50
3856675	829793	96	30
3662310	689552	91	40
2897585	398974	90	72
3527353	622259	98	52
3658662	708335	97	50
3752276	745563	82	63
3639997	678833	90	48
3700165	731394	84	60
3367148	546110	96	54
3252820	507329	89	52
3730877	733955	87	41
3445389	587966	93	53
3614978	592953	82	75
3734469	756503	90	62
3700055	721445	96	46
3220723	507926	72	69
3729542	758845	94	44
3753879	748446	81	65
3521494	615391	66	59
3553684	650887	90	48
3934314	856236	83	52
3571675	706617	90	58
3875492	810546	78	52
3451634	592295	83	56
3860910	816264	95	51
3765241	764372	78	56
3801185	780765	86	48
3696392	719130	82	41
3792367	773281	78	61
3555693	665304	85	68
3628508	726050	97	34
3576088	655326	86	49
3848737	810752	90	36
3699802	714223	87	61
3831462	804145	90	67
3802150	780544	83	58
3857030	792741	86	50
3829159	779725	83	43
3737674	810190	90	47
3773436	812193	103	35
3818200	743718	77	45
3691882	710069	87	42
3707316	731682	89	47
3838027	825937	81	54
3591765	657588	75	61
3904250	841067	84	51
3727037	745286	90	62
3606484	662270	78	67
3850224	801501	73	66
3793726	775356	91	54
3802439	771852	96	40
3883680	810672	86	47
3801868	790507	91	47
3599847	661335	80	64
3420232	624039	93	59
3656265	762149	83	39
3913777	833536	82	41
3931757	856429	72	72
3838676	796599	89	55
3443735	603300	93	45
3510454	679627	84	45
3839426	777079	89	58
3729800	728078	83	57
3844945	801124	81	66
3871227	808955	92	47
3929252	850626	101	64
3289018	523461	83	63
3800991	774388	81	71
3517436	628213	82	55
3545667	643959	91	53
3573400	645488	83	46
3789686	756594	96	58
3532982	624655	80	53
3792441	779529	84	46
3544038	620379	100	50
3809535	791894	91	52
3891217	826348	89	55
3715039	796762	83	41
3680130	704454	85	46
3172358	479139	73	69
3504128	613776	88	56
3752466	770713	84	51
3707559	708248	103	55
3329008	535498	89	49
3175995	475311	88	51
3619473	658281	95	54
3340964	559952	82	58
3566554	639902	96	43
3645788	682261	79	62
3675700	686981	73	66
3841306	795399	83	74
3587329	630173	82	50
3815145	762935	79	45
3553137	648110	78	60
3695302	714798	89	53
3736935	729580	95	45
3671614	698415	83	47
3433094	577053	103	51
3712787	708806	86	44
3665229	688446	95	42
3803867	777887	102	49
3638676	680441	86	41
3914560	821232	93	54
3764873	737606	88	51
3728154	715794	88	51
3776714	730486	88	42
3660698	694374	107	32
3889868	799693	82	50
3785761	788083	76	63
3614341	669509	93	51
3110930	496665	78	61
3500451	595809	73	68
3638144	718105	91	58
3196614	519151	90	45
3674790	708084	85	50
3171643	505097	94	59
3902428	860633	78	58
3254926	525827	79	53
3168906	494815	70	59
3569888	648563	80	48
3689305	708188	84	53
3461602	592390	94	63
3521637	627625	85	55
3702035	713686	85	57
3584987	643269	86	51
3423872	577870	84	57
3419029	606261	77	73
3424985	580928	76	63
2968272	420402	82	58
3228624	542050	88	53
3608114	655759	81	57
3482465	593340	76	53
3582842	651081	66	75
3243532	503209	78	56
3876575	815293	86	39
3842272	776291	92	55
3467653	586210	82	44
4023909	902860	87	46
3842141	877981	79	45
3698796	706191	81	56
3741125	716951	85	64
3835554	787837	87	52
3463472	601947	84	58
3355976	582809	91	45
3875013	790821	88	50
3586444	645665	90	57
3873335	816546	76	45
3532887	608946	79	65
3398251	566066	83	66
3486318	591329	85	56
3442854	559597	89	57
3439651	607351	80	48
3600050	653297	66	49
3582433	647357	76	57
3895568	848156	84	50
3350681	583650	84	49
3405202	623010	82	56
3381631	568054	90	46
3613924	669967	83	63
3256706	507913	78	70
3635892	702137	81	71
3661893	693399	78	63
3724740	727100	76	47
3705203	771045	78	66
3650903	691026	79	67
3711769	701547	84	56
3770318	761794	78	70
3584172	633364	76	52
3942473	846003	80	59
3631152	667883	86	58
3804040	765392	101	53
3793614	762591	76	62
3679753	696252	89	52
3858906	804480	74	77
3802482	771254	80	45
3668102	701089	83	60
3567555	633762	71	50
3720158	723982	72	74
3672997	701437	84	53
3766933	738937	80	63
3789182	767974	89	59
3836144	788708	88	58
3710324	725900	76	55
3771783	763196	81	55
3597275	666948	95	49
3749373	750039	78	52
3436574	596866	80	57
3660409	699743	72	65
3641879	705301	69	78
3750227	730728	77	58
3473672	616170	70	64
3655599	693206	87	56
3476292	603535	86	51
3758940	742854	84	49
3684964	713475	82	63
3729970	737696	93	44
3668643	687474	73	62
3670191	747596	94	44
3736850	725807	69	61
3736552	714492	93	59
3629956	677562	83	53
3586517	694947	106	47
3761915	735705	88	46
3540221	663383	96	46
3187627	487973	88	56
3844970	803012	83	50
3649522	683158	78	45
3528248	616020	95	64
3718964	720667	93	61
3720037	723006	94	58
3395951	583857	91	53
3155718	497076	99	48
3438091	576473	77	46
3515805	603428	82	47
3823132	802273	81	59
3690712	694074	80	64
3683915	680988	105	44
3611461	743065	86	49
3844458	754333	90	56
3692171	710913	90	53
3747934	750363	90	46
3433199	570420	89	53
3368293	545302	82	46
3653036	692149	89	48
3449321	643551	87	47
3519057	621575	81	55
3488892	676622	78	53
3612027	659977	83	74
3774147	763808	86	49
3735693	717781	92	49
3718097	758296	100	51
3849877	731617	72	50
3635897	665478	94	47
3679318	694497	93	50
3475902	661282	99	46
3761032	698009	78	41
3730491	715218	68	54
3284740	536196	85	48
3770594	757978	83	46
3737900	732311	88	49
3771311	744329	92	63
3782651	760517	87	40
3683356	693206	75	47
3857183	793996	75	56
3607501	652675	94	45
3468951	603756	87	53
3697842	713263	95	45
3816489	769737	90	56
3441080	573113	86	60
3625999	681487	76	73
3828004	801549	87	59
3162662	480574	90	65
3671313	771208	77	49
3301092	536170	77	68
3843539	806576	73	60
3682259	709488	81	67
3620385	661137	105	44
3697420	705927	78	54
3772840	768892	95	67
3998558	882107	90	50
3178749	479406	74	77
3658561	679517	95	47
3613307	657624	80	51
3536315	640819	83	56
3807133	771217	94	39
3211367	495252	85	52
3476853	600323	99	46
3726379	727404	87	55
3837906	780794	87	49
3584916	661980	90	40
3624826	680196	83	55
3461880	596779	79	66
3398654	584173	78	45
3723681	753254	91	67
3730512	731835	84	52
3396348	566766	89	81
3221639	494000	87	46
3708085	711141	83	51
3586255	655019	81	42
3687680	724291	84	66
3702199	709703	85	63
3821158	794658	85	45
3677752	698053	82	48
3993177	875564	87	47
3887642	849984	89	44
3720729	728057	77	57
3363088	560218	89	62
3521918	647923	80	62
3676043	713362	91	47
3876577	811955	78	50
3460837	601514	74	54
3561297	647398	80	66
3714984	722287	99	57
3774346	747258	75	58
3671335	756496	86	43
3497371	602672	92	60
3849951	797449	89	48
3377985	609856	105	52
3692171	715770	89	55
3542680	631062	90	42
3655659	693318	85	49
3792582	762166	93	48
3786632	779699	98	46
3759515	747369	87	42
3609677	700023	82	57
3708910	717626	86	56
3596569	640285	78	55
3773428	738708	90	42
3529753	673503	79	68
3747790	743286	74	73
3397895	553266	76	56
3727532	735610	77	65
3752092	739510	81	53
3696272	699797	86	49
3510702	599926	81	61
3510680	619929	82	48
3862842	814649	86	66
3739646	729515	91	51
3657716	732666	96	54
3749648	741078	94	43
3808410	759133	93	39
3788063	767460	94	44
3800386	761478	79	51
3772747	732716	86	49
3792535	800102	84	54
3317813	585818	84	62
3789750	777834	81	49
3513360	621134	88	52
3162726	483761	80	66
3502396	673049	88	53
3656262	690337	93	54
3681954	734954	95	63
3291070	522790	70	70
3476357	589418	83	42
3609789	692973	97	42
3487223	583831	96	53
3638929	759761	82	42
3629073	678396	83	60
3875304	823471	73	74
3748365	732075	86	42
3804424	761123	89	37
3336527	546365	96	57
3546777	644957	83	55
3840564	819452	90	75
3750314	740056	84	59
3771448	764098	87	46
3451486	586927	104	39
3739168	738141	75	51
3546327	635551	78	46
3059703	434716	91	67
3491909	628414	81	39
3657157	698132	88	69
3786683	770684	72	59
3791900	755826	82	54
3812720	813523	91	48
3646812	696492	78	54
3645536	694602	103	53
3683076	687399	76	47
3422390	580351	77	51
3671524	691334	83	58
3561714	684147	96	38
3793424	763861	103	48
3548142	628862	70	47
3643940	703168	85	74
3676194	694035	80	53
3467871	588180	84	42
3560456	643328	87	51
3237890	498947	82	59
3336055	542027	87	58
