PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	tag	run_clean
-0.0104	-0.0269	1e-4	0.0218	-0.001	-0.0036	-0.0032	0.0016	0.0073	0.0147	EUR	0_rand_intrain
-0.0108	-0.0269	0	0.0211	2e-4	-0.0093	-0.0012	0.0018	0.0157	0.0129	EUR	0_rand_intrain
-0.0106	-0.0266	-1e-4	0.0218	-6e-4	-0.0077	-0.0018	7e-4	0.0091	0.0109	EUR	0_rand_intrain
-0.0104	-0.027	-4e-4	0.022	0.002	-0.0078	-0.0014	8e-4	0.0132	0.0155	EUR	0_rand_intrain
-0.0106	-0.0267	0	0.0207	-9e-4	-0.0103	-5e-4	0.003	0.0101	0.0138	EUR	0_rand_intrain
-0.0108	-0.0263	0	0.0203	-5e-4	-0.0064	-2e-4	0.0035	0.0107	0.0154	EUR	0_rand_intrain
-0.0105	-0.0273	-2e-4	0.0214	0.0016	-0.0106	-0.002	0.0024	0.0086	0.0105	EUR	0_rand_intrain
-0.0107	-0.0267	-2e-4	0.0207	-0.0016	-0.0101	0	0.003	0.0132	0.0167	EUR	0_rand_intrain
-0.0107	-0.0264	-0.0011	0.021	7e-4	-0.0077	-0.0018	1e-4	0.0013	0.0103	EUR	0_rand_intrain
-0.0108	-0.0267	-3e-4	0.0201	0.0013	-0.0089	-4e-4	0.0024	0.0116	0.0095	EUR	0_rand_intrain
-0.0107	-0.0267	-4e-4	0.0209	-0.0024	-0.0039	7e-4	0.0035	0.0092	0.0102	EUR	0_rand_intrain
-0.0105	-0.0265	-1e-4	0.0212	0.0013	-0.0102	-3e-4	6e-4	0.0111	0.0112	EUR	0_rand_intrain
-0.0107	-0.0263	-3e-4	0.0207	-9e-4	-0.0054	1e-4	0.0036	0.0058	0.0166	EUR	0_rand_intrain
-0.0109	-0.0264	-3e-4	0.0207	0	-0.0105	-0.0026	0.002	0.0158	0.0216	EUR	0_rand_intrain
-0.0108	-0.0267	-4e-4	0.0199	-7e-4	-0.0036	-0.0015	0.0019	0.0093	0.0126	EUR	0_rand_intrain
-0.0107	-0.0265	-2e-4	0.022	2e-4	-0.0079	-0.0012	0.002	0.0119	0.0111	EUR	0_rand_intrain
-0.0106	-0.0271	-3e-4	0.022	0.0018	-0.0068	2e-4	0.004	0.0119	0.014	EUR	0_rand_intrain
-0.0105	-0.0265	-4e-4	0.0204	-0.0038	-0.0063	-6e-4	4e-4	0.0074	0.0086	EUR	0_rand_intrain
-0.0106	-0.0266	-6e-4	0.0215	-0.0015	-0.0107	-0.0013	0.0022	0.0091	0.0154	EUR	0_rand_intrain
-0.0109	-0.0267	3e-4	0.0216	0.0023	-0.0098	0.0029	0.0028	0.0064	0.0144	EUR	0_rand_intrain
-0.0105	-0.0267	-5e-4	0.0209	0.002	-0.0096	7e-4	0.0016	0.0071	0.0123	EUR	0_rand_intrain
-0.0108	-0.0267	-7e-4	0.0226	0	-0.0086	-1e-4	0.0025	0.0133	0.0106	EUR	0_rand_intrain
-0.0108	-0.0268	-2e-4	0.0215	3e-4	-0.0049	-0.0018	0.0032	0.0113	0.0134	EUR	0_rand_intrain
-0.0109	-0.0268	-8e-4	0.0218	-8e-4	-0.012	-8e-4	-0.0015	0.0085	0.0071	EUR	0_rand_intrain
-0.0107	-0.0267	0	0.0219	-8e-4	-0.0028	-0.0018	0.0023	0.0082	0.0142	EUR	0_rand_intrain
-0.011	-0.0268	-1e-4	0.0204	-0.0015	-0.0123	-0.0023	0.0033	0.0166	0.0155	EUR	0_rand_intrain
-0.0108	-0.0268	1e-4	0.0208	-4e-4	-0.0046	-0.0016	0.0035	0.0078	0.0232	EUR	0_rand_intrain
-0.0106	-0.0265	-0.001	0.021	-3e-4	-0.0069	6e-4	0.0019	0.0058	0.0204	EUR	0_rand_intrain
-0.0109	-0.0273	-2e-4	0.0215	-8e-4	-0.0109	-5e-4	0.003	0.0181	0.016	EUR	0_rand_intrain
-0.0113	-0.0226	-0.0016	0.0199	0.0151	-0.0788	-0.0021	-0.0137	-0.0147	-0.019	EUR	0_rand_intrain
-0.0115	-0.022	-0.0013	0.0203	0.0179	-0.0844	0	-0.0133	-0.0175	-0.0154	EUR	0_rand_intrain
-0.0113	-0.0233	-0.0015	0.0211	0.0096	-0.0719	-0.0029	-0.0079	-0.0052	-0.0131	EUR	0_rand_intrain
-0.0114	-0.0226	-0.002	0.0189	0.0136	-0.0884	-0.0038	-0.0128	-0.0185	-0.0255	EUR	0_rand_intrain
