feno,phenotype (spanish),case_v,case_nv,ctrl_v,ctrl_nv,fisher_pval,fisher_qval,Logitconst_beta,Logitconst_pval,Logitconst_qval,LogitEBVpres_beta,LogitEBVpres_pval,LogitEBVpres_qval,Logitsex_beta,Logitsex_pval,Logitsex_qval,Logitage_beta,Logitage_pval,Logitage_qval,Logitsocio_beta,Logitsocio_pval,Logitsocio_qval,Controls EBVpos,Cases EBVpos,Dif Cases-Controls
PAINS.FACIAL_PAIN_3M,DOLORES.DOLOR_FACIAL_3M,1,13,74,1035,1,1,-4.716,0.000000142,0.00000037,0.049,0.963,1,-0.112,0.852,0.925,0.007,0.69,0.763,0.168,0.403,0.652,6.67%,7.14%,0.005
DISEASE_FAMILY_MEMBERS.MOTHER_DIABETES,ENFERMEDAD_FAMILIARES.MADRE_DIABETES,23,322,50,699,1,1,-1.047,0.000000722,0.00000172,-0.045,0.865,1,-0.172,0.235,0.401,0.007,0.114,0.175,0.06,0.242,0.501,6.68%,6.67%,0
MEDICAL_RECORD.SMOKE_FREQUENCY.above_2,HISTORIA_MEDICA.HUMO_FRECUENCIA.above_2,3,36,7,98,1,1,-1.467,0.0216,0.0282,0.341,0.655,1,-0.557,0.213,0.374,0.012,0.363,0.457,-0.546,0.0027,0.0174,6.67%,7.69%,0.01
MEDICAL_RECORD.SMOKE_FREQUENCY.above_11,HISTORIA_MEDICA.HUMO_FRECUENCIA.above_11,1,22,9,112,1,1,-2.238,0.00436,0.00621,-0.318,0.777,1,-0.176,0.741,0.855,0.009,0.581,0.667,-0.757,0.00156,0.0116,7.44%,4.35%,-0.031
HEARING_HEALTH.DRY_MOUTH.above_1,SALUD_DENTAL.BOCA_SECA.above_1,5,69,70,979,1,1,-3.027,6.16E-14,3.66E-13,-0.1,0.837,1,-0.392,0.166,0.325,0.009,0.225,0.309,-0.234,0.0176,0.072,6.67%,6.76%,0.001
HEARING_HEALTH.MOUTH_ULCERS.above_1,SALUD_DENTAL.FUEGOS_BOCA.above_1,2,27,73,1021,1,1,-2.763,0.00000168,0.00000376,0.231,0.758,1,-0.709,0.155,0.308,-0.017,0.159,0.234,0.257,0.0787,0.232,6.67%,6.90%,0.002
PERC_PHYSICAL.HAIR_COLOR.above_B,PERC_FISICA.COLOR_PELO.above_B,74,1040,0,4,1,1,11.484,0.000157,0.000274,17.652,0.999,1,-0.454,0.655,0.8,-0.096,0.0293,0.0554,-0.288,0.371,0.632,0.00%,6.64%,0.066
MEDICAL_RECORD.CANCER_TYPE.1,HISTORIA_MEDICA.TIPO_CANCER.1,1,8,3,25,1,1,-1.697,0.358,0.397,-0.245,0.843,1,-31.468,1,1,0.014,0.662,0.736,-0.034,0.894,0.959,10.71%,11.11%,0.004
PERC_PHYSICAL.LEFT_RIGHT.D,PERC_FISICA.ZURDO_DERECHO.D,67,926,8,122,1,1,2.402,7.8E-15,5.17E-14,0.154,0.692,1,0.049,0.81,0.903,-0.008,0.183,0.261,-0.045,0.534,0.75,6.15%,6.75%,0.006
VISUAL_HEALTH.GLAUCOMA.0,SALUD_VISUAL.GLAUCOMA.0,74,1026,1,22,1,1,9.335,8.74E-14,5.02E-13,0.962,0.359,1,-0.374,0.391,0.57,-0.091,0.000000956,0.00000457,-0.119,0.413,0.66,4.35%,6.73%,0.024
