run	pop	proportion
_0	EAS	0.044445
_0	SAS	0.012463
_0	AFR	0.067503
_0	EUR	0.251737
_0	MX-AMR	0.614888
_0	EAS	0.034747
_0	SAS	0.031126
_0	AFR	0.051825
_0	EUR	0.427331
_0	MX-AMR	0.465026
_0	EAS	0.032293
_0	SAS	0.023526
_0	AFR	0.064661
_0	EUR	0.371806
_0	MX-AMR	0.50441
_0	EAS	0.039044
_0	SAS	0.020078
_0	AFR	0.087626
_0	EUR	0.3177
_0	MX-AMR	0.513248
_0	EAS	0.043914
_0	SAS	0.037512
_0	AFR	0.18217
_0	EUR	0.282957
_0	MX-AMR	0.472092
_0	EAS	0.0412
_0	SAS	0.021581
_0	AFR	0.083266
_0	EUR	0.268868
_0	MX-AMR	0.583335
_0	EAS	0.03884
_0	SAS	0.02569
_0	AFR	0.036042
_0	EUR	0.412471
_0	MX-AMR	0.485464
_0	EAS	0.033021
_0	SAS	0.033002
_0	AFR	0.063452
_0	EUR	0.341096
_0	MX-AMR	0.524302
_0	EAS	0.045794
_0	SAS	0.025356
_0	AFR	0.046116
_0	EUR	0.604975
_0	MX-AMR	0.300381
_0	EAS	0.024639
_0	SAS	0.023888
_0	AFR	0.045988
_0	EUR	0.173716
_0	MX-AMR	0.698459
_0	EAS	0.051602
_0	SAS	0.030235
_0	AFR	0.065914
_0	EUR	0.440536
_0	MX-AMR	0.436033
_0	EAS	0.03532
_0	SAS	0.022197
_0	AFR	0.059705
_0	EUR	0.227343
_0	MX-AMR	0.620511
_0	EAS	0.057285
_0	SAS	0.035157
_0	AFR	0.044917
_0	EUR	0.710127
_0	MX-AMR	0.186596
_0	EAS	0.025204
_0	SAS	0.033156
_0	AFR	0.05366
_0	EUR	0.713291
_0	MX-AMR	0.191919
_0	EAS	0.017174
_0	SAS	0.023956
_0	AFR	0.019436
_0	EUR	0.046155
_0	MX-AMR	0.857757
_0	EAS	0.058828
_0	SAS	0.017825
_0	AFR	0.060541
_0	EUR	0.328983
_0	MX-AMR	0.549365
_0	EAS	0.041516
_0	SAS	0.019594
_0	AFR	0.024844
_0	EUR	0.080472
_0	MX-AMR	0.810146
_0	EAS	0.055151
_0	SAS	0.029387
_0	AFR	0.087824
_0	EUR	0.386383
_0	MX-AMR	0.449673
_0	EAS	0.040707
_0	SAS	0.035413
_0	AFR	0.065507
_0	EUR	0.364298
_0	MX-AMR	0.51037
_0	EAS	0.039825
_0	SAS	0.020001
_0	AFR	0.081562
_0	EUR	0.278545
_0	MX-AMR	0.574009
_0	EAS	0.041133
_0	SAS	0.024751
_0	AFR	0.050569
_0	EUR	0.387935
_0	MX-AMR	0.504469
_0	EAS	0.041849
_0	SAS	0.015178
_0	AFR	0.074516
_0	EUR	0.439663
_0	MX-AMR	0.419951
_0	EAS	0.040766
_0	SAS	0.025104
_0	AFR	0.033586
_0	EUR	0.28651
_0	MX-AMR	0.608446
_0	EAS	0.046717
_0	SAS	0.024743
_0	AFR	0.077569
_0	EUR	0.292436
_0	MX-AMR	0.56485
_0	EAS	0.039912
_0	SAS	0.025233
_0	AFR	0.029416
_0	EUR	0.154389
_0	MX-AMR	0.741775
_0	EAS	0.055026
_0	SAS	0.019393
_0	AFR	0.052859
_0	EUR	0.338342
_0	MX-AMR	0.539542
_0	EAS	0.038009
_0	SAS	0.031248
_0	AFR	0.074086
_0	EUR	0.282435
_0	MX-AMR	0.576183
_0	EAS	0.039529
_0	SAS	0.027767
_0	AFR	0.0641
_0	EUR	0.300219
_0	MX-AMR	0.562728
_0	EAS	0.044799
_0	SAS	0.028154
_0	AFR	0.051449
_0	EUR	0.735109
_0	MX-AMR	0.166208
_0	EAS	0.01693
_0	SAS	0.030304
_0	AFR	0.092164
_0	EUR	0.279722
_0	MX-AMR	0.5602
_0	EAS	0.034417
_0	SAS	0.033497
_0	AFR	0.045386
_0	EUR	0.849664
_0	MX-AMR	0.061066
_0	EAS	0.009499
_0	SAS	0.034385
_0	AFR	0.053968
_0	EUR	0.324963
_0	MX-AMR	0.545469
_0	EAS	0.051629
_0	SAS	0.023971
_0	AFR	0.094844
_0	EUR	0.319502
_0	MX-AMR	0.516079
_0	EAS	0.044639
_0	SAS	0.024934
_0	AFR	0.050524
_0	EUR	0.299183
_0	MX-AMR	0.580176
_0	EAS	0.044461
_0	SAS	0.025655
_0	AFR	0.058967
_0	EUR	0.368528
_0	MX-AMR	0.502132
_0	EAS	0.048807
_0	SAS	0.021566
_0	AFR	0.068507
_0	EUR	0.323723
_0	MX-AMR	0.546873
_0	EAS	0.040611
_0	SAS	0.020286
_0	AFR	0.063353
_0	EUR	0.206806
_0	MX-AMR	0.644202
_0	EAS	0.060186
_0	SAS	0.025453
_0	AFR	0.10707
_0	EUR	0.187282
_0	MX-AMR	0.633484
_0	EAS	0.048894
_0	SAS	0.02327
_0	AFR	0.13341
_0	EUR	0.223918
_0	MX-AMR	0.573098
_0	EAS	0.041865
_0	SAS	0.027709
_0	AFR	0.067466
_0	EUR	0.28193
